video,window,t_start_s,t_mid_s,t_end_s,n_active,pct_Progressive,n_Progressive,pct_Non-progressive,n_Non-progressive,pct_Immotile,n_Immotile
21,4,15.0,17.5,20.0,49,34.69387755102041,17,8.16326530612245,4,57.142857142857146,28
21,5,20.0,22.5,25.0,26,50.0,13,7.6923076923076925,2,42.30769230769231,11
22,1,0.0,2.5,5.0,15,46.666666666666664,7,20.0,3,33.333333333333336,5
22,2,5.0,7.5,10.0,13,46.15384615384615,6,7.6923076923076925,1,46.15384615384615,6
22,3,10.0,12.5,15.0,16,50.0,8,25.0,4,25.0,4
22,4,15.0,17.5,20.0,15,60.0,9,6.666666666666667,1,33.333333333333336,5
22,5,20.0,22.5,25.0,17,58.8235294117647,10,5.882352941176471,1,35.294117647058826,6
23,1,0.0,2.5,5.0,4,25.0,1,25.0,1,50.0,2
23,2,5.0,7.5,10.0,3,0.0,0,33.333333333333336,1,66.66666666666667,2
23,3,10.0,12.5,15.0,3,0.0,0,0.0,0,100.0,3
23,4,15.0,17.5,20.0,6,50.0,3,16.666666666666668,1,33.333333333333336,2
23,5,20.0,22.5,25.0,3,100.0,3,0.0,0,0.0,0
24,1,0.0,2.5,5.0,72,18.055555555555557,13,5.555555555555555,4,76.38888888888889,55
24,2,5.0,7.5,10.0,79,24.050632911392405,19,2.5316455696202533,2,73.41772151898734,58
24,3,10.0,12.5,15.0,73,16.438356164383563,12,5.47945205479452,4,78.08219178082192,57
24,4,15.0,17.5,20.0,70,17.142857142857142,12,2.857142857142857,2,80.0,56
24,5,20.0,22.5,25.0,72,15.277777777777779,11,4.166666666666667,3,80.55555555555556,58
29,1,0.0,2.5,5.0,5,0.0,0,0.0,0,100.0,5
29,2,5.0,7.5,10.0,7,0.0,0,0.0,0,100.0,7
29,3,10.0,12.5,15.0,2,0.0,0,0.0,0,100.0,2
29,4,15.0,17.5,20.0,2,0.0,0,0.0,0,100.0,2
29,5,20.0,22.5,25.0,6,16.666666666666668,1,0.0,0,83.33333333333333,5
30,1,0.0,2.5,5.0,16,37.5,6,25.0,4,37.5,6
30,2,5.0,7.5,10.0,18,38.888888888888886,7,33.333333333333336,6,27.77777777777778,5
30,3,10.0,12.5,15.0,19,52.63157894736842,10,21.05263157894737,4,26.31578947368421,5
30,4,15.0,17.5,20.0,19,68.42105263157895,13,0.0,0,31.57894736842105,6
30,5,20.0,22.5,25.0,17,58.8235294117647,10,17.647058823529413,3,23.529411764705884,4
35,1,0.0,2.5,5.0,35,8.571428571428571,3,5.714285714285714,2,85.71428571428571,30
35,2,5.0,7.5,10.0,35,2.857142857142857,1,5.714285714285714,2,91.42857142857143,32
35,3,10.0,12.5,15.0,36,8.333333333333334,3,11.11111111111111,4,80.55555555555556,29
35,4,15.0,17.5,20.0,39,12.820512820512821,5,7.6923076923076925,3,79.48717948717949,31
35,5,20.0,22.5,25.0,57,12.280701754385966,7,12.280701754385966,7,75.43859649122807,43
36,1,0.0,2.5,5.0,53,26.41509433962264,14,11.320754716981131,6,62.264150943396224,33
36,2,5.0,7.5,10.0,54,24.074074074074073,13,20.37037037037037,11,55.55555555555556,30
36,3,10.0,12.5,15.0,51,31.372549019607842,16,13.72549019607843,7,54.90196078431372,28
36,4,15.0,17.5,20.0,49,20.408163265306122,10,16.3265306122449,8,63.265306122448976,31
36,5,20.0,22.5,25.0,50,16.0,8,20.0,10,64.0,32
38,1,0.0,2.5,5.0,22,50.0,11,22.727272727272727,5,27.272727272727273,6
38,2,5.0,7.5,10.0,15,33.333333333333336,5,20.0,3,46.666666666666664,7
38,3,10.0,12.5,15.0,15,53.333333333333336,8,0.0,0,46.666666666666664,7
38,4,15.0,17.5,20.0,20,65.0,13,5.0,1,30.0,6
38,5,20.0,22.5,25.0,15,40.0,6,20.0,3,40.0,6
47,1,0.0,2.5,5.0,12,66.66666666666667,8,16.666666666666668,2,16.666666666666668,2
47,2,5.0,7.5,10.0,11,54.54545454545455,6,18.181818181818183,2,27.272727272727273,3
47,3,10.0,12.5,15.0,14,50.0,7,28.571428571428573,4,21.428571428571427,3
47,4,15.0,17.5,20.0,5,60.0,3,20.0,1,20.0,1
47,5,20.0,22.5,25.0,4,75.0,3,25.0,1,0.0,0
52,1,0.0,2.5,5.0,8,0.0,0,37.5,3,62.5,5
52,2,5.0,7.5,10.0,21,9.523809523809524,2,33.333333333333336,7,57.142857142857146,12
52,3,10.0,12.5,15.0,15,20.0,3,26.666666666666668,4,53.333333333333336,8
52,4,15.0,17.5,20.0,16,18.75,3,37.5,6,43.75,7
52,5,20.0,22.5,25.0,33,18.181818181818183,6,21.21212121212121,7,60.60606060606061,20
54,1,0.0,2.5,5.0,35,20.0,7,11.428571428571429,4,68.57142857142857,24
54,2,5.0,7.5,10.0,33,21.21212121212121,7,15.151515151515152,5,63.63636363636363,21
54,3,10.0,12.5,15.0,32,12.5,4,18.75,6,68.75,22
54,4,15.0,17.5,20.0,62,14.516129032258064,9,14.516129032258064,9,70.96774193548387,44
54,5,20.0,22.5,25.0,27,11.11111111111111,3,3.7037037037037037,1,85.18518518518519,23
60,1,0.0,2.5,5.0,20,15.0,3,50.0,10,35.0,7
60,2,5.0,7.5,10.0,30,10.0,3,23.333333333333332,7,66.66666666666667,20
60,3,10.0,12.5,15.0,12,16.666666666666668,2,25.0,3,58.333333333333336,7
60,4,15.0,17.5,20.0,15,20.0,3,20.0,3,60.0,9
60,5,20.0,22.5,25.0,28,25.0,7,28.571428571428573,8,46.42857142857143,13
82,1,0.0,2.5,5.0,30,16.666666666666668,5,6.666666666666667,2,76.66666666666667,23
82,2,5.0,7.5,10.0,29,10.344827586206897,3,10.344827586206897,3,79.3103448275862,23
82,3,10.0,12.5,15.0,27,11.11111111111111,3,11.11111111111111,3,77.77777777777777,21
82,4,15.0,17.5,20.0,63,11.11111111111111,7,14.285714285714286,9,74.60317460317461,47
82,5,20.0,22.5,25.0,37,5.405405405405405,2,21.62162162162162,8,72.97297297297297,27
