fa,mem,rho,p,n,q
"Sperm C18:3 n-3 (a-linoleic acid, ALA)",dwell_mean_Immo,-0.21013698943913353,0.0830871477179406,70,0.7459980925919144
Sperm C18:0 (stearic acid),asym_Prog_Immo,-0.2269969199673663,0.04861646834971844,77,0.7459980925919144
Sperm C17:0,dwell_cv_Immo,-0.2657362474849492,0.02732185758128234,70,0.7459980925919144
"Sperm C22:6,n3 (docosahexaenoic acid, DHA)",P_stay_prog,-0.18592030698222772,0.10783355428742061,77,0.7615920258046599
Sperm C18:0 (stearic acid),P_stay_nonprog,0.18112517486722945,0.11738962094033376,77,0.7615920258046599
Sperm C20:1 n-9,dwell_mean_Non-,0.1863813153898351,0.10694758950313084,77,0.7615920258046599
Sperm C16:1 n-7 (palmitoleic acid),asym_Prog_Immo,0.18010070326076358,0.11951320596534516,77,0.7615920258046599
Sperm C20:3 n-6,dwell_mean_Immo,0.19149195335237776,0.11497574243675142,70,0.7615920258046599
Sperm C16:1 n-7 (palmitoleic acid),dwell_mean_Prog,-0.18128193135185122,0.11706726230934028,77,0.7615920258046599
"Sperm C18:3 n-3 (a-linoleic acid, ALA)",dwell_cv_Immo,-0.1882296260962992,0.12141322150509071,70,0.7615920258046599
"Sperm C18:3 n-6 (gamma-linoleic acid, GLA)",dwell_cv_Immo,-0.18375920863955247,0.13067750062750744,70,0.790542322456142
Sperm C18:1 trans n-6 to n-11,dwell_cv_Prog,0.17445125511263787,0.13175705374269034,77,0.790542322456142
"Sperm C18:2 n-6 (Linoleic acid, LA)",dwell_cv_Immo,-0.17806724032850146,0.14323695669438194,70,0.8236125009926961
Sperm C18:0 (stearic acid),P_stay_prog,0.17058986197999487,0.14065832802998107,77,0.8236125009926961
"Sperm C22:5 n-3 (docosapentaenoic acid, DPA)",asym_Prog_Non-,-0.16783170418492901,0.14728858839132897,77,0.829625518285853
Sperm C24:1 n-9,P_stay_nonprog,0.16294209089571296,0.15961356598278761,77,0.8333944914468328
Sperm C20:1 n-9,dwell_cv_Non-,0.16481634597117872,0.15480194544411555,77,0.8333944914468328
Sperm C24:0,dwell_mean_Prog,0.1627795916177726,0.16003589871986282,77,0.8333944914468328
Sperm C20:1 n-9,dwell_mean_Prog,0.16334436572891534,0.15857161390733043,77,0.8333944914468328
Sperm C20:0,dwell_cv_Immo,0.1695081905003836,0.16379620701737155,70,0.8371806136443434
Sperm C20:0,P_stay_immotile,0.15829033177040688,0.17203301197798454,77,0.863292932834977
Sperm C20:0,dwell_mean_Immo,0.16449849657493718,0.17679616305163673,70,0.8713525178973525
"Sperm C22:6,n3 (docosahexaenoic acid, DHA)",dwell_mean_Prog,-0.1515606981991679,0.19123236225895815,77,0.8750865823542907
Sperm C16:1 n-7 (palmitoleic acid),dwell_cv_Non-,0.14987513190309917,0.19627417973707398,77,0.8750865823542907
"Sperm C18:3 n-6 (gamma-linoleic acid, GLA)",asym_Prog_Immo,0.1487317723046018,0.1997480242330446,77,0.8750865823542907
Sperm C18:1 n-9 (oleic acid),dwell_mean_Immo,-0.15888092239817225,0.19224933778766554,70,0.8750865823542907
Sperm C16:0 (palmitic acid),P_stay_immotile,0.15366344707885168,0.1850744169673285,77,0.8750865823542907
Sperm C20:0,P_stay_prog,0.15485370666263532,0.18165306756894864,77,0.8750865823542907
Sperm C24:0,dwell_cv_Non-,0.14922318303458393,0.1982496300326934,77,0.8750865823542907
Sperm C16:1 n-7 (palmitoleic acid),dwell_mean_Non-,-0.1468644560089936,0.20551565139085484,77,0.8862862466230615
Sperm C14:0 (myristic acid),dwell_cv_Non-,0.1448104963577259,0.21199558952566036,77,0.9001658878320348
Sperm C17:0,dwell_mean_Immo,-0.14130428970142728,0.24680677615779903,70,0.915382048647441
Sperm C18:0 (stearic acid),dwell_cv_Non-,0.12233884214197337,0.29242792690939373,77,0.915382048647441
"Sperm C18:3 n-3 (a-linoleic acid, ALA)",asym_Prog_Non-,0.1385287792088652,0.23270688379431992,77,0.915382048647441
Sperm C20:2 n-6,asym_Prog_Non-,-0.11937306511108703,0.3043728130501405,77,0.915382048647441
Sperm C20:1 n-9,dwell_mean_Immo,-0.13230827107254808,0.278484635677194,70,0.915382048647441
Sperm C18:1 n-7 to n-11,asym_Prog_Non-,0.128579725357931,0.2683125225297066,77,0.915382048647441
Sperm C16:1 n-7 (palmitoleic acid),P_stay_immotile,-0.1191327695210246,0.3053543229800756,77,0.915382048647441
"Sperm C20:5 n-3 (eicosapentaenoic acid, EPA)",asym_Non-_Immo,0.12049293998318944,0.2998256733328669,77,0.915382048647441
Sperm C22:0,dwell_mean_Immo,-0.12320600110378774,0.3131770081594036,70,0.915382048647441
Sperm C22:0,asym_Prog_Immo,-0.1370570123369978,0.23775607861401635,77,0.915382048647441
Sperm C20:1 n-9,P_stay_immotile,0.12106806407115636,0.2975077774513269,77,0.915382048647441
Sperm C20:0,dwell_mean_Prog,0.12990989789704546,0.2633508572134341,77,0.915382048647441
Sperm C20:4 n-6 and C22:1 n-9 combined,dwell_mean_Prog,0.13386172615236142,0.24897768270105394,77,0.915382048647441
Sperm C20:2 n-6,dwell_cv_Prog,0.12255331919107774,0.29157623148570316,77,0.915382048647441
"Sperm C18:2 n-6 (Linoleic acid, LA)",P_stay_prog,-0.14015612757426082,0.2272112415893072,77,0.915382048647441
Sperm C15:0 (pentadecanoic acid),dwell_mean_Prog,0.12242055219742892,0.292103260801252,77,0.915382048647441
Sperm C20:4 n-6 and C22:1 n-9 combined,P_stay_prog,0.12455201192792001,0.2837179322684599,77,0.915382048647441
Sperm C15:0 (pentadecanoic acid),dwell_cv_Immo,-0.12308353345132655,0.3136619577385997,70,0.915382048647441
"Sperm C20:5 n-3 (eicosapentaenoic acid, EPA)",asym_Prog_Immo,0.13900938676794908,0.23107432233920452,77,0.915382048647441
Sperm C16:0 (palmitic acid),dwell_cv_Prog,-0.1347427988428634,0.24584783144021471,77,0.915382048647441
Sperm C15:0 (pentadecanoic acid),asym_Non-_Immo,-0.12755798911040656,0.2721661396724151,77,0.915382048647441
Sperm C16:1 n-7 (palmitoleic acid),P_stay_prog,-0.14107272627446146,0.22415605640253106,77,0.915382048647441
Sperm C16:1 n-7 (palmitoleic acid),P_stay_nonprog,-0.13491928456482952,0.24522416090580662,77,0.915382048647441
Sperm C14:0 (myristic acid),dwell_mean_Immo,-0.12744147920925553,0.29670235687710744,70,0.915382048647441
Sperm C24:0,asym_Prog_Non-,0.12163454146465491,0.29523622919348863,77,0.915382048647441
"Sperm C18:3 n-6 (gamma-linoleic acid, GLA)",dwell_mean_Prog,-0.12557097763423808,0.2797662232771788,77,0.915382048647441
Sperm C14:0 (myristic acid),dwell_mean_Non-,-0.12369763991279281,0.2870597216684562,77,0.915382048647441
Sperm C24:1 n-9,asym_Prog_Non-,-0.13846743226808886,0.2329158468130818,77,0.915382048647441
"Sperm C22:6,n3 (docosahexaenoic acid, DHA)",P_stay_nonprog,-0.11751606579343021,0.312011307121067,77,0.915382048647441
Sperm C24:1 n-9,asym_Prog_Immo,0.1167789939742943,0.31507715442574963,77,0.915382048647441
"Sperm C18:3 n-3 (a-linoleic acid, ALA)",P_stay_prog,0.11525679013769252,0.3214699112834629,77,0.9242259949399559
"Sperm C22:5 n-3 (docosapentaenoic acid, DPA)",dwell_cv_Prog,-0.10744047482426976,0.3555910438095733,77,0.9314093017905082
"Sperm C22:5 n-3 (docosapentaenoic acid, DPA)",asym_Prog_Immo,-0.10960818597490139,0.3459114035009023,77,0.9314093017905082
Sperm C14:0 (myristic acid),dwell_mean_Prog,-0.1055502542820481,0.36416677231091354,77,0.9314093017905082
Sperm C14:0 (myristic acid),P_stay_immotile,-0.09882572578678196,0.39568879629269105,77,0.9314093017905082
Sperm C16:0 (palmitic acid),dwell_mean_Non-,-0.10202814395252147,0.3804805717339037,77,0.9314093017905082
Sperm C15:0 (pentadecanoic acid),P_stay_prog,0.10215614881045326,0.3798800847475774,77,0.9314093017905082
"Sperm C18:2 n-6 (Linoleic acid, LA)",dwell_cv_Prog,0.10239205473481604,0.3787749163276015,77,0.9314093017905082
Sperm C20:2 n-6,dwell_mean_Prog,0.10601028209745743,0.362068103826522,77,0.9314093017905082
Sperm C16:0 (palmitic acid),P_stay_nonprog,-0.10101023075715183,0.3852760351019008,77,0.9314093017905082
Sperm C16:0 (palmitic acid),asym_Non-_Immo,0.10071808980281742,0.38665898575556756,77,0.9314093017905082
"Sperm C18:2 n-6 (Linoleic acid, LA)",asym_Prog_Immo,-0.10434614286742382,0.3696951565215033,77,0.9314093017905082
Sperm C20:0,dwell_mean_Non-,0.10494880294166087,0.3669218320539228,77,0.9314093017905082
Sperm C16:0 (palmitic acid),asym_Prog_Immo,-0.10054748987985879,0.38746795024464753,77,0.9314093017905082
Sperm C18:1 n-9 (oleic acid),asym_Prog_Immo,0.10350891723793312,0.3735690190610724,77,0.9314093017905082
Sperm C24:0,dwell_cv_Prog,0.1113780305746307,0.3381315755988704,77,0.9314093017905082
"Sperm C18:3 n-6 (gamma-linoleic acid, GLA)",asym_Non-_Immo,-0.0999442609400622,0.39033648566926404,77,0.9314093017905082
Sperm C14:0 (myristic acid),dwell_cv_Prog,0.0987158296398509,0.39621699384960885,77,0.9314093017905082
"Sperm C22:6,n3 (docosahexaenoic acid, DHA)",asym_Prog_Immo,-0.11179530910798023,0.3363134786423202,77,0.9314093017905082
Sperm C24:0,P_stay_nonprog,0.10450757001974267,0.3689510517911717,77,0.9314093017905082
Sperm C18:1 trans n-6 to n-11,P_stay_immotile,-0.10677679430020777,0.35858776763243594,77,0.9314093017905082
Sperm C18:0 (stearic acid),P_stay_immotile,0.10518702485338285,0.3658290937052723,77,0.9314093017905082
Sperm C24:1 n-9,dwell_cv_Non-,0.09830169157372572,0.39821122322927527,77,0.9314093017905082
Sperm C20:3 n-6,P_stay_immotile,0.09756201474785502,0.4017877452992853,77,0.9318774596857373
Sperm C18:1 n-7 to n-11,dwell_cv_Immo,0.10175117142524502,0.40544847592597955,70,0.9325314946297529
Sperm C20:0,asym_Non-_Immo,0.09584985780449586,0.41013853663975985,77,0.9355226125006093
"Sperm C22:6,n3 (docosahexaenoic acid, DHA)",dwell_mean_Non-,-0.09397456023086821,0.41939995382594053,77,0.9404553515873473
Sperm C20:4 n-6 and C22:1 n-9 combined,asym_Prog_Immo,-0.09456334263714264,0.4164792778491361,77,0.9404553515873473
Sperm C20:3 n-6,dwell_cv_Immo,0.09811475959166933,0.42252341882909805,70,0.9404553515873473
Sperm C22:0,P_stay_prog,0.07423555155563244,0.5239130960786723,77,0.943045224197299
Sperm C22:0,asym_Non-_Immo,-0.06298577362337951,0.5888287496725594,77,0.943045224197299
Sperm C22:0,P_stay_immotile,-0.06877664527791703,0.5549603152178215,77,0.943045224197299
Sperm C18:1 n-7 to n-11,dwell_mean_Non-,-0.0567712392964355,0.6261797276715253,77,0.943045224197299
"Sperm C18:3 n-3 (a-linoleic acid, ALA)",dwell_cv_Non-,0.08443874661185138,0.4683191147394056,77,0.943045224197299
"Sperm C18:3 n-6 (gamma-linoleic acid, GLA)",asym_Prog_Non-,0.08607858566377656,0.4596928130292969,77,0.943045224197299
Sperm C20:2 n-6,P_stay_nonprog,0.053956508769171685,0.6434190950633996,77,0.943045224197299
Sperm C20:2 n-6,dwell_mean_Non-,0.07235010179703381,0.5345370915834173,77,0.943045224197299
Sperm C22:0,P_stay_nonprog,0.06374204359482026,0.5843529974926445,77,0.943045224197299
Sperm C20:3 n-6,dwell_mean_Prog,0.0890577311130524,0.4442465256972754,77,0.943045224197299
"Sperm C18:3 n-3 (a-linoleic acid, ALA)",P_stay_immotile,-0.07654064940804649,0.5110701895211769,77,0.943045224197299
Sperm C20:1 n-9,asym_Non-_Immo,-0.06674992700773645,0.5667071595830748,77,0.943045224197299
"Sperm C20:5 n-3 (eicosapentaenoic acid, EPA)",P_stay_prog,0.0735831525363188,0.5275771523720963,77,0.943045224197299
Sperm C24:0,dwell_mean_Non-,0.0898396320035569,0.44024114777437795,77,0.943045224197299
Sperm C20:2 n-6,asym_Prog_Immo,-0.09053122465077455,0.4367153592965818,77,0.943045224197299
"Sperm C18:2 n-6 (Linoleic acid, LA)",dwell_mean_Immo,-0.08709929879637762,0.4766891622819893,70,0.943045224197299
"Sperm C18:2 n-6 (Linoleic acid, LA)",dwell_mean_Prog,-0.08120150889273989,0.4856031968277097,77,0.943045224197299
Sperm C24:1 n-9,P_stay_immotile,0.06439331426865466,0.5805111247674479,77,0.943045224197299
Sperm C18:1 n-9 (oleic acid),dwell_mean_Prog,-0.055067114847935174,0.6365938294791849,77,0.943045224197299
Sperm C24:1 n-9,dwell_mean_Immo,0.0735003262121962,0.5483740184753614,70,0.943045224197299
Sperm C14:0 (myristic acid),P_stay_prog,-0.05917889327468959,0.6115902770682204,77,0.943045224197299
Sperm C17:0,dwell_cv_Non-,-0.05781530561158908,0.6198350370487256,77,0.943045224197299
Sperm C16:1 n-7 (palmitoleic acid),asym_Non-_Immo,-0.0692187317276412,0.5524135629460377,77,0.943045224197299
Sperm C17:0,asym_Prog_Non-,0.06874862474275788,0.5551219239308454,77,0.943045224197299
Sperm C24:1 n-9,dwell_cv_Prog,0.08529737881099975,0.46379140728633717,77,0.943045224197299
Sperm C24:0,P_stay_immotile,0.06179832909753125,0.5958873744943287,77,0.943045224197299
Sperm C20:1 n-9,asym_Prog_Non-,0.09039417084935523,0.4374128006258282,77,0.943045224197299
"Sperm C22:6,n3 (docosahexaenoic acid, DHA)",P_stay_immotile,-0.05357037722198398,0.6457990377998986,77,0.943045224197299
Sperm C20:3 n-6,asym_Non-_Immo,-0.05530102653691112,0.6351601363113475,77,0.943045224197299
Sperm C20:3 n-6,P_stay_prog,-0.06253242833194869,0.5915191443736711,77,0.943045224197299
Sperm C18:1 trans n-6 to n-11,P_stay_nonprog,0.062220021206696806,0.5933763497849889,77,0.943045224197299
Sperm C18:1 n-7 to n-11,dwell_cv_Prog,-0.05489388003592895,0.6376564817696726,77,0.943045224197299
Sperm C18:1 n-7 to n-11,asym_Prog_Immo,-0.07659692569742908,0.5107586721723439,77,0.943045224197299
Sperm C18:1 n-7 to n-11,P_stay_immotile,0.06473249908675399,0.578514860373506,77,0.943045224197299
"Sperm C22:5 n-3 (docosapentaenoic acid, DPA)",dwell_mean_Immo,0.09112790615998742,0.4564604662188514,70,0.943045224197299
Sperm C15:0 (pentadecanoic acid),dwell_cv_Non-,0.053247053189499974,0.6477946003568387,77,0.943045224197299
Sperm C16:0 (palmitic acid),dwell_mean_Prog,0.06845496381142382,0.5568169700070481,77,0.943045224197299
Sperm C16:1 n-7 (palmitoleic acid),dwell_cv_Prog,0.08805160437909001,0.44943037244372375,77,0.943045224197299
"Sperm C18:2 n-6 (Linoleic acid, LA)",dwell_cv_Non-,0.07773564894524507,0.5044762183078318,77,0.943045224197299
Sperm C16:0 (palmitic acid),dwell_cv_Immo,0.08664510108144134,0.4789995151599433,70,0.943045224197299
Sperm C15:0 (pentadecanoic acid),asym_Prog_Immo,0.0690061370221783,0.5536375677332702,77,0.943045224197299
"Sperm C22:6,n3 (docosahexaenoic acid, DHA)",dwell_mean_Immo,0.07837797282096404,0.52207626621166,70,0.943045224197299
"Sperm C22:5 n-3 (docosapentaenoic acid, DPA)",P_stay_prog,0.08312411029642797,0.4752976112446746,77,0.943045224197299
Sperm C15:0 (pentadecanoic acid),dwell_mean_Immo,-0.07686852034668203,0.5301462388282255,70,0.943045224197299
"Sperm C22:5 n-3 (docosapentaenoic acid, DPA)",dwell_cv_Immo,0.07355074340370828,0.5480989598647472,70,0.943045224197299
Sperm C16:1 n-7 (palmitoleic acid),dwell_cv_Immo,-0.07403747909303164,0.5454469319366422,70,0.943045224197299
"Sperm C22:5 n-3 (docosapentaenoic acid, DPA)",asym_Non-_Immo,0.07568018814181798,0.5158453515593022,77,0.943045224197299
Sperm C15:0 (pentadecanoic acid),asym_Prog_Non-,0.0866092634774253,0.4569199870217109,77,0.943045224197299
Sperm C18:1 n-9 (oleic acid),P_stay_nonprog,0.06320834275089517,0.5875099333467076,77,0.943045224197299
Sperm C18:1 n-9 (oleic acid),P_stay_prog,0.08182846548978123,0.48222960804968096,77,0.943045224197299
Sperm C14:0 (myristic acid),P_stay_nonprog,-0.0766717932855202,0.5103443934437133,77,0.943045224197299
"Sperm C18:3 n-6 (gamma-linoleic acid, GLA)",dwell_cv_Non-,0.08597612914669953,0.4602292157399226,77,0.943045224197299
"Sperm C18:3 n-6 (gamma-linoleic acid, GLA)",dwell_mean_Non-,-0.07072130694411224,0.5437998357198709,77,0.943045224197299
Sperm C20:4 n-6 and C22:1 n-9 combined,dwell_cv_Prog,0.08065381505602362,0.4885604883193383,77,0.943045224197299
Sperm C20:4 n-6 and C22:1 n-9 combined,dwell_mean_Non-,0.0918165857568941,0.4302050088649825,77,0.943045224197299
Sperm C18:0 (stearic acid),asym_Prog_Non-,-0.06549511816343101,0.5740380648918038,77,0.943045224197299
"Sperm C18:3 n-6 (gamma-linoleic acid, GLA)",P_stay_prog,-0.054881182947084065,0.6377343966445747,77,0.943045224197299
Sperm C20:0,P_stay_nonprog,0.06228034343833976,0.593017541016041,77,0.943045224197299
Sperm C24:1 n-9,dwell_cv_Immo,0.06206853454728689,0.6124005150405523,70,0.943045224197299
Sperm C20:0,asym_Prog_Non-,-0.06070771626792603,0.6024034771576021,77,0.943045224197299
"Sperm C18:2 n-6 (Linoleic acid, LA)",P_stay_immotile,-0.0530199453744341,0.6491977992662565,77,0.943045224197299
"Sperm C20:5 n-3 (eicosapentaenoic acid, EPA)",P_stay_immotile,-0.053082389812592785,0.6488118608223261,77,0.943045224197299
Sperm C20:4 n-6 and C22:1 n-9 combined,P_stay_immotile,-0.06191097174335271,0.5952161637322848,77,0.943045224197299
Sperm C18:0 (stearic acid),dwell_mean_Immo,0.06543096853020114,0.5932349362107977,70,0.943045224197299
Sperm C20:4 n-6 and C22:1 n-9 combined,asym_Non-_Immo,-0.05997097176522707,0.6068230289578729,77,0.943045224197299
Sperm C18:1 trans n-6 to n-11,dwell_mean_Prog,-0.057323973780098174,0.6228173977551865,77,0.943045224197299
Sperm C20:3 n-6,dwell_cv_Non-,0.051552210094663604,0.6582955341806938,77,0.9512542797584894
Sperm C18:1 n-9 (oleic acid),dwell_cv_Non-,0.05010736884617153,0.6673000376488116,77,0.9522611397930207
Sperm C20:3 n-6,P_stay_nonprog,-0.04733671657447749,0.6846982368744248,77,0.9522611397930207
Sperm C20:3 n-6,dwell_cv_Prog,0.050348584276977665,0.6657934299178966,77,0.9522611397930207
Sperm C20:2 n-6,dwell_cv_Non-,0.04703641007583015,0.6865940826768518,77,0.9522611397930207
Sperm C18:0 (stearic acid),asym_Non-_Immo,-0.04720475839918559,0.6855310548225346,77,0.9522611397930207
Sperm C18:1 trans n-6 to n-11,dwell_cv_Immo,-0.04944738289155081,0.6865921866118145,70,0.9522611397930207
Sperm C18:0 (stearic acid),dwell_cv_Immo,-0.05035013423334275,0.6811754607593856,70,0.9522611397930207
"Sperm C20:5 n-3 (eicosapentaenoic acid, EPA)",dwell_cv_Non-,-0.048638556118686435,0.6765022873865889,77,0.9522611397930207
Sperm C15:0 (pentadecanoic acid),dwell_cv_Prog,0.03389659075754811,0.771288639656309,77,0.9543410386801184
Sperm C24:0,asym_Prog_Immo,0.03186734411146838,0.7846393686317665,77,0.9543410386801184
Sperm C18:1 n-9 (oleic acid),dwell_mean_Non-,0.03896213750866663,0.738257596879534,77,0.9543410386801184
Sperm C18:1 trans n-6 to n-11,dwell_mean_Non-,0.03920425176065715,0.7366900916784074,77,0.9543410386801184
Sperm C18:1 trans n-6 to n-11,asym_Non-_Immo,-0.04420503158452395,0.7045622722022311,77,0.9543410386801184
Sperm C20:3 n-6,dwell_mean_Non-,-0.03372641337073158,0.7724057770613707,77,0.9543410386801184
Sperm C18:1 n-9 (oleic acid),P_stay_immotile,-0.034745027021836454,0.7657260120803919,77,0.9543410386801184
Sperm C20:4 n-6 and C22:1 n-9 combined,dwell_mean_Immo,0.045583755487218575,0.7099501117674147,70,0.9543410386801184
Sperm C20:4 n-6 and C22:1 n-9 combined,P_stay_nonprog,0.03245574743135761,0.78076158836655,77,0.9543410386801184
Sperm C16:0 (palmitic acid),P_stay_prog,0.031574162101397546,0.7865735019946213,77,0.9543410386801184
Sperm C17:0,dwell_mean_Non-,-0.038399637602565054,0.7419034625095313,77,0.9543410386801184
Sperm C18:1 n-7 to n-11,dwell_cv_Non-,-0.030778885406602074,0.7918264415135765,77,0.9543410386801184
"Sperm C18:3 n-3 (a-linoleic acid, ALA)",asym_Non-_Immo,0.033297226650464785,0.7752252415390842,77,0.9543410386801184
"Sperm C18:2 n-6 (Linoleic acid, LA)",P_stay_nonprog,-0.040439617639975355,0.7287088627466141,77,0.9543410386801184
"Sperm C20:5 n-3 (eicosapentaenoic acid, EPA)",P_stay_nonprog,-0.04418515153081679,0.7046890195402089,77,0.9543410386801184
Sperm C20:2 n-6,dwell_cv_Immo,-0.037249572418808434,0.7612262140081344,70,0.9543410386801184
Sperm C20:1 n-9,dwell_cv_Immo,0.04138773737486542,0.7356221315887486,70,0.9543410386801184
Sperm C18:1 n-7 to n-11,P_stay_nonprog,-0.04453342189981044,0.7024697507448368,77,0.9543410386801184
Sperm C20:2 n-6,dwell_mean_Immo,0.0385909752420913,0.7528970062135916,70,0.9543410386801184
Sperm C20:2 n-6,P_stay_prog,0.03079777778289161,0.7917015456830747,77,0.9543410386801184
"Sperm C22:5 n-3 (docosapentaenoic acid, DPA)",P_stay_immotile,0.03461958715152704,0.7665476996899712,77,0.9543410386801184
"Sperm C22:5 n-3 (docosapentaenoic acid, DPA)",dwell_mean_Prog,0.04200857673005047,0.7186138913806979,77,0.9543410386801184
"Sperm C22:5 n-3 (docosapentaenoic acid, DPA)",dwell_mean_Non-,-0.04310981820653082,0.7115568033969089,77,0.9543410386801184
Sperm C18:1 n-9 (oleic acid),dwell_cv_Prog,-0.03303857281193566,0.7769258266011134,77,0.9543410386801184
Sperm C18:1 n-9 (oleic acid),dwell_cv_Immo,-0.034125063227796765,0.7807309778619851,70,0.9543410386801184
Sperm C17:0,asym_Non-_Immo,-0.03400233565704802,0.7705947061352232,77,0.9543410386801184
Sperm C17:0,asym_Prog_Immo,0.03388150303611272,0.7713876649778961,77,0.9543410386801184
Sperm C17:0,dwell_cv_Prog,-0.03900225444428072,0.7379977964213313,77,0.9543410386801184
Sperm C17:0,dwell_mean_Prog,-0.045732430135185034,0.694848443925961,77,0.9543410386801184
"Sperm C22:5 n-3 (docosapentaenoic acid, DPA)",P_stay_nonprog,-0.036795508094184165,0.75233164931657,77,0.9543410386801184
Sperm C18:1 n-7 to n-11,P_stay_prog,-0.02600847421424824,0.8235226166337672,77,0.9693936512707992
Sperm C14:0 (myristic acid),dwell_cv_Immo,0.025196266515060805,0.83717766850814,70,0.9693936512707992
Sperm C20:2 n-6,P_stay_immotile,0.02386478297850382,0.8378616568867865,77,0.9693936512707992
Sperm C22:0,dwell_mean_Non-,0.021537594356946067,0.8534878886188558,77,0.9693936512707992
Sperm C24:0,dwell_mean_Immo,-0.025036549542755655,0.8381957939758622,70,0.9693936512707992
Sperm C20:1 n-9,asym_Prog_Immo,-0.02519999694624151,0.828923971496295,77,0.9693936512707992
"Sperm C18:2 n-6 (Linoleic acid, LA)",dwell_mean_Non-,-0.024728827624413793,0.8320754809947066,77,0.9693936512707992
"Sperm C20:5 n-3 (eicosapentaenoic acid, EPA)",dwell_mean_Non-,0.021622790482596167,0.8529147947163123,77,0.9693936512707992
"Sperm C20:5 n-3 (eicosapentaenoic acid, EPA)",dwell_cv_Immo,0.02354371687546413,0.8477245327780568,70,0.9693936512707992
