kinetic,clinical,rho,p,n,q_fdr
p_NP_to_I,"DNA fragmentation index, DFI (%)",0.3774764930567519,0.11109776271755682,19,0.6372788418080849
dwell_NP_s,Sperm concentration (x10⁶/mL),-0.37719298245614036,0.1113882030181703,19,0.6372788418080849
dwell_NP_s,Body mass index (kg/m²),0.3756033709545006,0.11302675191497838,19,0.6372788418080849
p_NP_to_P,Normal spermatozoa (%),0.37461876985097703,0.11405027287323391,19,0.6372788418080849
dwell_NP_s,"Sperm C18:3 n-6 (gamma-linoleic acid, GLA)",0.3692671720656493,0.11972948807766148,19,0.6372788418080849
p_NP_to_P,"High DNA stainability, HDS (%)",-0.36548063313254775,0.12386744998034238,19,0.6372788418080849
escape_I,Seminal plasma anti-Müllerian hormone (AMH) (pmol/L),0.3646160475834662,0.12482630935288223,19,0.6372788418080849
dwell_I_s,Seminal plasma anti-Müllerian hormone (AMH) (pmol/L),-0.3646160475834662,0.12482630935288223,19,0.6372788418080849
dwell_I_s,Non progressive sperm motility (%),0.36259891060076127,0.12708380259366037,19,0.6372788418080849
escape_I,Non progressive sperm motility (%),-0.36259891060076127,0.12708380259366037,19,0.6372788418080849
dwell_P_s,Sperm C24:1 n-9,0.3612373886609171,0.12862377238173592,19,0.6372788418080849
p_P_to_NP,Sperm C24:1 n-9,-0.3612373886609171,0.12862377238173592,19,0.6372788418080849
escape_I,Serum oestradiol (nmol/L),0.3595227808456099,0.13058177825553074,19,0.6372788418080849
dwell_I_s,Serum oestradiol (nmol/L),-0.3595227808456099,0.13058177825553074,19,0.6372788418080849
p_NP_to_I,Immotile sperm (%),0.3582090932811395,0.13209608922035432,19,0.6372788418080849
dwell_P_s,Progressive motility (%),0.3580518115641033,0.13227821511493326,19,0.6372788418080849
p_P_to_NP,Progressive motility (%),-0.3580518115641033,0.13227821511493326,19,0.6372788418080849
dwell_NP_s,Total sperm count (x10⁶),-0.3578947368421052,0.1324602775246397,19,0.6372788418080849
p_NP_to_P,Cytoplasmic droplet (%),-0.3567668075634234,0.13377281810548722,19,0.6372788418080849
p_NP_to_P,Midpiece and neck defects (%),-0.3497369197296614,0.14215962477117064,19,0.6679554972124867
escape_I,Sperm C18:1 trans n-6 to n-11,-0.34212959901256534,0.1516409458237218,19,0.6706117866388384
dwell_I_s,Sperm C18:1 trans n-6 to n-11,0.34212959901256534,0.1516409458237218,19,0.6706117866388384
dwell_NP_s,Sperm C18:1 n-7 to n-11,-0.3417293481227813,0.15215160346694342,19,0.6706117866388384
escape_I,Sperm C20:2 n-6,0.341456309446333,0.1525006395271994,19,0.6706117866388384
dwell_I_s,Sperm C20:2 n-6,-0.341456309446333,0.1525006395271994,19,0.6706117866388384
p_NP_to_I,Sperm C20:4 n-6 and C22:1 n-9 combined,-0.3383133519997981,0.15655830273805138,19,0.6797404789766028
p_NP_to_P,Sperm C22:0,-0.33333799922079704,0.16313260016482328,19,0.6994310232066798
p_NP_to_I,Serum oestradiol (nmol/L),-0.32790645589687534,0.1705227894846818,19,0.7079484546946078
dwell_NP_s,Sperm C24:1 n-9,0.3275927299130866,0.17095648646130973,19,0.7079484546946078
p_NP_to_P,"Sperm C22:6,n3 (docosahexaenoic acid, DHA)",0.32733658263090826,0.1713111420981121,19,0.7079484546946078
p_NP_to_I,Sperm C14:0 (myristic acid),0.3225897475510333,0.17797420450883053,19,0.7267280017443913
dwell_NP_s,Sperm C16:1 n-7 (palmitoleic acid),-0.3191966669322063,0.18284299133750087,19,0.7316069603040745
dwell_NP_s,Sperm C14:0 (myristic acid),-0.318170709913348,0.18433263186378562,19,0.7316069603040745
dwell_NP_s,Normal spermatozoa (%),-0.3173241344620041,0.18556794619957573,19,0.7316069603040745
dwell_NP_s,Sperm vitality (%),0.3056656144411524,0.20314695803614924,19,0.7855551535600008
dwell_P_s,Sperm C18:1 n-7 to n-11,-0.3037594205535834,0.20612234349970865,19,0.7855551535600008
p_P_to_NP,Sperm C18:1 n-7 to n-11,0.3037594205535834,0.20612234349970865,19,0.7855551535600008
p_NP_to_P,Body mass index (kg/m²),-0.29837650963675283,0.21467918000716368,19,0.8091753707962324
dwell_NP_s,Sperm C16:0 (palmitic acid),-0.29574377572819327,0.21894768829641995,19,0.8108157934459486
dwell_I_s,"Serum sex hormone-binding globulin, SHBG (nmol/L)",-0.2937565194606602,0.22220607750413748,19,0.8108157934459486
escape_I,"Serum sex hormone-binding globulin, SHBG (nmol/L)",0.2937565194606602,0.22220607750413748,19,0.8108157934459486
escape_I,"Serum follicle-stimulating hormone, FSH (IU/L)",0.2853381257754175,0.2363577579847672,19,0.8108756826226222
dwell_I_s,"Serum follicle-stimulating hormone, FSH (IU/L)",-0.2853381257754175,0.2363577579847672,19,0.8108756826226222
dwell_P_s,Teratozoospermia index,0.28458522723831436,0.23765095350582668,19,0.8108756826226222
p_P_to_NP,Teratozoospermia index,-0.28458522723831436,0.23765095350582668,19,0.8108756826226222
dwell_NP_s,Sperm C22:0,0.28042720569368634,0.2448745096645733,19,0.8108756826226222
p_P_to_NP,"Serum Luteinizing hormone, LH (IU/L)",0.27743645460009825,0.25015579874901456,19,0.8108756826226222
dwell_P_s,"Serum Luteinizing hormone, LH (IU/L)",-0.27743645460009825,0.25015579874901456,19,0.8108756826226222
dwell_NP_s,"Sperm C22:6,n3 (docosahexaenoic acid, DHA)",-0.27731463836827613,0.2503724299750194,19,0.8108756826226222
p_NP_to_P,Sperm C24:0,-0.2760446227386936,0.25263804071375767,19,0.8108756826226222
escape_I,Sperm C16:1 n-7 (palmitoleic acid),-0.27498660226015553,0.25453534363733593,19,0.8108756826226222
dwell_I_s,Sperm C16:1 n-7 (palmitoleic acid),0.27498660226015553,0.25453534363733593,19,0.8108756826226222
p_NP_to_I,Sperm vitality (%),-0.27492338310368025,0.2546489961013486,19,0.8108756826226222
dwell_NP_s,"Sperm C18:2 n-6 (Linoleic acid, LA)",0.27340725373163605,0.25738422718025383,19,0.8108756826226222
dwell_NP_s,Tail defects (%),0.27204917055115696,0.2598499882469161,19,0.8108756826226222
dwell_I_s,"High DNA stainability, HDS (%)",-0.2703676008956437,0.2629235876609177,19,0.8108756826226222
escape_I,"High DNA stainability, HDS (%)",0.2703676008956437,0.2629235876609177,19,0.8108756826226222
p_NP_to_I,Sperm C22:0,0.2663176607531236,0.2704192965444031,19,0.8108756826226222
dwell_P_s,Sperm vitality (%),0.2635048400354762,0.27570280309454775,19,0.8108756826226222
p_P_to_NP,Sperm vitality (%),-0.2635048400354762,0.27570280309454775,19,0.8108756826226222
p_NP_to_P,Sperm C16:0 (palmitic acid),0.26239581288643854,0.2778034176948523,19,0.8108756826226222
dwell_I_s,Sperm C20:1 n-9,0.2618870506108806,0.2787703699175627,19,0.8108756826226222
escape_I,Sperm C20:1 n-9,-0.2618870506108806,0.2787703699175627,19,0.8108756826226222
p_NP_to_I,Age (years),0.26174814110190636,0.2790347419399962,19,0.8108756826226222
p_NP_to_I,"Sperm C22:6,n3 (docosahexaenoic acid, DHA)",-0.2606406569473988,0.2811480392739253,19,0.8108756826226222
dwell_NP_s,Sperm C20:0,0.2580381337538229,0.2861528914283016,19,0.8108756826226222
p_NP_to_P,"Sperm C22:5 n-3 (docosapentaenoic acid, DPA)",0.25476352880317177,0.2925273526759719,19,0.8108756826226222
dwell_NP_s,Serum inhibin B (ng/L),-0.25186487725220014,0.2982416277424497,19,0.8108756826226222
p_NP_to_I,Progressive motility (%),-0.25186487725220014,0.2982416277424497,19,0.8108756826226222
p_NP_to_P,Seminal plasma anti-Müllerian hormone (AMH) (pmol/L),0.24956729470518801,0.30281873425495753,19,0.8108756826226222
dwell_I_s,Progressive motility (%),-0.24923214334364058,0.30348992883317866,19,0.8108756826226222
escape_I,Progressive motility (%),0.24923214334364058,0.30348992883317866,19,0.8108756826226222
p_NP_to_I,Total sperm count (x10⁶),-0.24912280701754386,0.3037090865488368,19,0.8108756826226222
p_NP_to_P,Serum inhibin B (ng/L),0.2448442534960413,0.3123600922298902,19,0.8108756826226222
dwell_NP_s,Sperm C18:0 (stearic acid),0.2439666755265214,0.3141525443553461,19,0.8108756826226222
p_NP_to_I,Sperm C20:1 n-9,0.24311698896300177,0.31589387037055244,19,0.8108756826226222
p_NP_to_P,Sperm C18:1 n-7 to n-11,0.24106488898583794,0.32012307293649944,19,0.8108756826226222
dwell_I_s,Ejaculate volume (mL),-0.23803270549871353,0.32643335508839244,19,0.8108756826226222
escape_I,Ejaculate volume (mL),0.23803270549871353,0.32643335508839244,19,0.8108756826226222
p_P_to_NP,"Sperm C18:3 n-3 (a-linoleic acid, ALA)",0.2365446735150072,0.3295567568584974,19,0.8108756826226222
dwell_P_s,"Sperm C18:3 n-3 (a-linoleic acid, ALA)",-0.2365446735150072,0.3295567568584974,19,0.8108756826226222
dwell_P_s,Ejaculate volume (mL),0.23364095816478891,0.3357021190358247,19,0.8108756826226222
p_P_to_NP,Ejaculate volume (mL),-0.23364095816478891,0.3357021190358247,19,0.8108756826226222
p_NP_to_I,"Sperm C22:5 n-3 (docosapentaenoic acid, DPA)",-0.23353323473624074,0.33593138330119265,19,0.8108756826226222
p_NP_to_I,Abstinence time(days),-0.24015880180985563,0.33710145758287735,18,0.8108756826226222
escape_I,Total sperm count (x10⁶),0.23157894736842102,0.3401065100886612,19,0.8108756826226222
dwell_I_s,Total sperm count (x10⁶),-0.23157894736842102,0.3401065100886612,19,0.8108756826226222
dwell_I_s,"Serum anti-Müllerian hormone, AMH (pmol/L)",-0.2309043910121071,0.3415546091165288,19,0.8108756826226222
p_P_to_NP,"Serum anti-Müllerian hormone, AMH (pmol/L)",0.2309043910121071,0.3415546091165288,19,0.8108756826226222
dwell_P_s,"Serum anti-Müllerian hormone, AMH (pmol/L)",-0.2309043910121071,0.3415546091165288,19,0.8108756826226222
escape_I,"Serum anti-Müllerian hormone, AMH (pmol/L)",0.2309043910121071,0.3415546091165288,19,0.8108756826226222
p_NP_to_P,"Sperm C18:2 n-6 (Linoleic acid, LA)",-0.2303302266163622,0.34279001160431555,19,0.8108756826226222
dwell_P_s,Abstinence time(days),0.23063708720065432,0.35717494868742183,18,0.8233132797292332
p_P_to_NP,Abstinence time(days),-0.23063708720065432,0.35717494868742183,18,0.8233132797292332
p_NP_to_P,Sperm vitality (%),-0.22310076456336989,0.35856636984501955,19,0.8233132797292332
p_P_to_NP,Sperm C18:1 n-9 (oleic acid),0.2220272262885249,0.36094387145235796,19,0.8233132797292332
dwell_P_s,Sperm C18:1 n-9 (oleic acid),-0.2220272262885249,0.36094387145235796,19,0.8233132797292332
escape_I,Sperm C18:1 n-9 (oleic acid),-0.22027207034948518,0.36485019976339195,19,0.8233132797292332
dwell_I_s,Sperm C18:1 n-9 (oleic acid),0.22027207034948518,0.36485019976339195,19,0.8233132797292332
dwell_P_s,Serum inhibin B (ng/L),-0.21588418050188585,0.37472035765699985,19,0.8346044329633179
p_P_to_NP,Serum inhibin B (ng/L),0.21588418050188585,0.37472035765699985,19,0.8346044329633179
dwell_NP_s,Sperm C20:2 n-6,0.21228103894150332,0.38293615981753804,19,0.8474006633381648
p_NP_to_I,Sperm C16:1 n-7 (palmitoleic acid),0.20867150525207948,0.39126610495217085,19,0.8572918810525918
dwell_P_s,Body mass index (kg/m²),0.20710840080668727,0.3949041317968207,19,0.8572918810525918
p_P_to_NP,Body mass index (kg/m²),-0.20710840080668727,0.3949041317968207,19,0.8572918810525918
p_NP_to_I,Non progressive sperm motility (%),-0.20368752363045184,0.4029304897921363,19,0.8692148301805205
dwell_I_s,Sperm C17:0,0.20083142900468956,0.4096991395396393,19,0.8728372972801013
escape_I,Sperm C17:0,-0.20083142900468956,0.4096991395396393,19,0.8728372972801013
dwell_NP_s,Sperm C24:0,0.1978026755293187,0.4169435599249416,19,0.878075223286243
p_NP_to_P,Sperm C24:1 n-9,-0.19655563794785194,0.4199461375097647,19,0.878075223286243
p_NP_to_I,Sperm C18:1 trans n-6 to n-11,0.19437182874492787,0.4252319381967832,19,0.878075223286243
p_NP_to_P,Ejaculate volume (mL),0.19323688269268258,0.4279928885373586,19,0.878075223286243
p_NP_to_P,"Serum Luteinizing hormone, LH (IU/L)",0.19139603513551082,0.43249114946918554,19,0.878075223286243
dwell_NP_s,Immotile sperm (%),-0.18964010820766208,0.43680496059368734,19,0.878075223286243
dwell_NP_s,"Sperm C22:5 n-3 (docosapentaenoic acid, DPA)",-0.18930345543013455,0.4376345836502866,19,0.878075223286243
p_NP_to_P,Sperm C20:0,-0.18846471202497644,0.4397051006269551,19,0.878075223286243
p_P_to_NP,Normal spermatozoa (%),0.18686865696095795,0.4436591791873451,19,0.878075223286243
dwell_P_s,Normal spermatozoa (%),-0.18686865696095795,0.4436591791873451,19,0.878075223286243
p_P_to_NP,Age (years),0.18445338802483335,0.44967769442341987,19,0.878075223286243
dwell_P_s,Age (years),-0.18445338802483335,0.44967769442341987,19,0.878075223286243
escape_I,Age (years),0.18357503855804844,0.451876794809023,19,0.878075223286243
dwell_I_s,Age (years),-0.18357503855804844,0.451876794809023,19,0.878075223286243
escape_I,"Sperm C22:5 n-3 (docosapentaenoic acid, DPA)",0.18222669074115758,0.45526333639861505,19,0.878075223286243
dwell_I_s,"Sperm C22:5 n-3 (docosapentaenoic acid, DPA)",-0.18222669074115758,0.45526333639861505,19,0.878075223286243
p_NP_to_P,Sperm C17:0,-0.18206213657434475,0.45567752112230686,19,0.878075223286243
dwell_NP_s,Seminal plasma anti-Müllerian hormone (AMH) (pmol/L),-0.17699808135119718,0.4685174748240276,19,0.881900615582675
escape_I,Sperm C14:0 (myristic acid),-0.17676150550741554,0.4691217255296135,19,0.881900615582675
dwell_I_s,Sperm C14:0 (myristic acid),0.17676150550741554,0.4691217255296135,19,0.881900615582675
p_P_to_NP,Sperm concentration (x10⁶/mL),0.1719298245614035,0.4815477582059863,19,0.881900615582675
dwell_P_s,Sperm concentration (x10⁶/mL),-0.1719298245614035,0.4815477582059863,19,0.881900615582675
p_P_to_NP,Sperm C24:0,0.1705498624563903,0.4851263207013151,19,0.881900615582675
dwell_P_s,Sperm C24:0,-0.1705498624563903,0.4851263207013151,19,0.881900615582675
p_NP_to_I,Sperm C18:1 n-7 to n-11,0.1686571201329489,0.490055829699404,19,0.881900615582675
dwell_NP_s,"Serum Luteinizing hormone, LH (IU/L)",-0.16593509468170434,0.4971878017828738,19,0.881900615582675
p_NP_to_I,Sperm C20:0,-0.16556713019016622,0.49815574182207156,19,0.881900615582675
p_NP_to_P,Sperm C16:1 n-7 (palmitoleic acid),0.1644614405800287,0.5010697565281474,19,0.881900615582675
p_P_to_NP,Sperm C20:3 n-6,-0.16432362811418763,0.5014335315996608,19,0.881900615582675
dwell_P_s,Sperm C20:3 n-6,0.16432362811418763,0.5014335315996608,19,0.881900615582675
p_NP_to_I,Serum inhibin B (ng/L),-0.16410708030021404,0.5020053960973041,19,0.881900615582675
escape_I,Sperm C16:0 (palmitic acid),0.1632295023306942,0.5043261297841117,19,0.881900615582675
dwell_I_s,Sperm C16:0 (palmitic acid),-0.1632295023306942,0.5043261297841117,19,0.881900615582675
dwell_P_s,Serum oestradiol (nmol/L),-0.1625982425934919,0.5059986533476295,19,0.881900615582675
p_P_to_NP,Serum oestradiol (nmol/L),0.1625982425934919,0.5059986533476295,19,0.881900615582675
p_NP_to_P,"Sperm C18:3 n-3 (a-linoleic acid, ALA)",-0.1624038056968706,0.5065143477253264,19,0.881900615582675
escape_I,Sperm C15:0 (pentadecanoic acid),-0.1598736645815666,0.5132477101495321,19,0.8846430380969322
dwell_I_s,Sperm C15:0 (pentadecanoic acid),0.1598736645815666,0.5132477101495321,19,0.8846430380969322
dwell_P_s,Head defects (%),0.15689915537287977,0.5212174039550934,19,0.8871467292646081
p_P_to_NP,Head defects (%),-0.15689915537287977,0.5212174039550934,19,0.8871467292646081
dwell_NP_s,Sperm C20:4 n-6 and C22:1 n-9 combined,0.15641500430120533,0.5225200563413421,19,0.8871467292646081
p_NP_to_I,Sperm C20:3 n-6,-0.15377879636354458,0.5296395608649878,19,0.8871467292646081
p_P_to_NP,Sperm C20:2 n-6,0.15356500689385347,0.5302188906683518,19,0.8871467292646081
dwell_P_s,Sperm C20:2 n-6,-0.15356500689385347,0.5302188906683518,19,0.8871467292646081
dwell_NP_s,Progressive motility (%),0.15006583278789629,0.5397423374319642,19,0.8986971929085618
p_NP_to_P,Sperm C20:2 n-6,-0.1463384183341427,0.5499716912453467,19,0.9014469706315823
p_NP_to_P,Sperm C18:1 n-9 (oleic acid),-0.14304520903173737,0.5590809431517354,19,0.9014469706315823
p_NP_to_I,Sperm C18:0 (stearic acid),-0.14216763106221753,0.5615195608257566,19,0.9014469706315823
p_P_to_NP,Midpiece and neck defects (%),-0.14059775667524077,0.5658935511416274,19,0.9014469706315823
dwell_P_s,Midpiece and neck defects (%),0.14059775667524077,0.5658935511416274,19,0.9014469706315823
escape_I,Normal spermatozoa (%),0.1375071249335351,0.5745478111148363,19,0.9014469706315823
dwell_I_s,Normal spermatozoa (%),-0.1375071249335351,0.5745478111148363,19,0.9014469706315823
p_NP_to_P,Sperm C20:3 n-6,0.13532534079991923,0.5806911791802062,19,0.9014469706315823
p_NP_to_I,Cytoplasmic droplet (%),-0.13356786884147873,0.5856600040636923,19,0.9014469706315823
dwell_I_s,Sperm C18:1 n-7 to n-11,0.13333625727788107,0.5863161642244035,19,0.9014469706315823
escape_I,Sperm C18:1 n-7 to n-11,-0.13333625727788107,0.5863161642244035,19,0.9014469706315823
p_NP_to_I,Sperm C24:0,0.13011020434817405,0.5954876325953147,19,0.9014469706315823
dwell_I_s,"DNA fragmentation index, DFI (%)",0.12846519344122562,0.6001870528905425,19,0.9014469706315823
escape_I,"DNA fragmentation index, DFI (%)",-0.12846519344122562,0.6001870528905425,19,0.9014469706315823
dwell_P_s,"Serum follicle-stimulating hormone, FSH (IU/L)",0.12642673880510805,0.6060314829429236,19,0.9014469706315823
p_P_to_NP,"Serum follicle-stimulating hormone, FSH (IU/L)",-0.12642673880510805,0.6060314829429236,19,0.9014469706315823
dwell_I_s,Sperm C24:1 n-9,-0.1257247774261035,0.6080494082417452,19,0.9014469706315823
escape_I,Sperm C24:1 n-9,0.1257247774261035,0.6080494082417452,19,0.9014469706315823
p_NP_to_I,Seminal plasma anti-Müllerian hormone (AMH) (pmol/L),-0.12566863775935,0.6082109101503705,19,0.9014469706315823
p_P_to_NP,Sperm C22:0,-0.12522221134749517,0.6094958018247754,19,0.9014469706315823
dwell_P_s,Sperm C22:0,0.12522221134749517,0.6094958018247754,19,0.9014469706315823
p_NP_to_P,Sperm C14:0 (myristic acid),0.12461686138272797,0.6112398513110577,19,0.9014469706315823
dwell_NP_s,Age (years),-0.12384727481667382,0.6134599711224354,19,0.9014469706315823
escape_I,Sperm C22:0,-0.12345851822992483,0.6145826917911164,19,0.9014469706315823
dwell_I_s,Sperm C22:0,0.12345851822992483,0.6145826917911164,19,0.9014469706315823
p_NP_to_P,"Sperm C20:5 n-3 (eicosapentaenoic acid, EPA)",0.12324020060865036,0.6152135485501993,19,0.9014469706315823
escape_I,"Sperm C22:6,n3 (docosahexaenoic acid, DHA)",0.12286091573278059,0.6163101554664425,19,0.9014469706315823
dwell_I_s,"Sperm C22:6,n3 (docosahexaenoic acid, DHA)",-0.12286091573278059,0.6163101554664425,19,0.9014469706315823
dwell_NP_s,Abstinence time(days),0.12589822649943974,0.6186371615459028,18,0.9014469706315823
escape_I,Tail defects (%),-0.1175954479156614,0.6316134994643987,19,0.9014469706315823
dwell_I_s,Tail defects (%),0.1175954479156614,0.6316134994643987,19,0.9014469706315823
dwell_NP_s,Sperm C17:0,0.1163696130681379,0.6351971916926874,19,0.9014469706315823
p_NP_to_I,Sperm C20:2 n-6,-0.11562541695537201,0.6373766277366137,19,0.9014469706315823
dwell_P_s,Cytoplasmic droplet (%),0.11511441327785338,0.6388747946649485,19,0.9014469706315823
p_P_to_NP,Cytoplasmic droplet (%),-0.11511441327785338,0.6388747946649485,19,0.9014469706315823
dwell_NP_s,"Sperm C18:3 n-3 (a-linoleic acid, ALA)",0.11474181924235423,0.6399680156651749,19,0.9014469706315823
p_NP_to_P,"DNA fragmentation index, DFI (%)",-0.1143868160778036,0.6410102847690371,19,0.9014469706315823
dwell_I_s,"Sperm C18:2 n-6 (Linoleic acid, LA)",-0.11340686730347604,0.6438906933082731,19,0.9014469706315823
escape_I,"Sperm C18:2 n-6 (Linoleic acid, LA)",0.11340686730347604,0.6438906933082731,19,0.9014469706315823
dwell_NP_s,Sperm C15:0 (pentadecanoic acid),-0.11068176778723843,0.6519261870080169,19,0.9089865127794706
p_NP_to_I,"Serum follicle-stimulating hormone, FSH (IU/L)",0.10974543299054518,0.6546957086700427,19,0.9091523403798568
p_NP_to_P,Sperm C18:1 trans n-6 to n-11,-0.108179796088806,0.6593362455097644,19,0.9102394287100875
p_NP_to_P,Abstinence time(days),-0.1110866704406821,0.6607860575767107,18,0.9102394287100875
escape_I,"Sperm C18:3 n-3 (a-linoleic acid, ALA)",-0.10415026669690615,0.6713343194851636,19,0.917401082005622
dwell_I_s,"Sperm C18:3 n-3 (a-linoleic acid, ALA)",0.10415026669690615,0.6713343194851636,19,0.917401082005622
dwell_NP_s,Ejaculate volume (mL),-0.10013183921348097,0.683375623627353,19,0.930150154381675
p_NP_to_I,Serum total testosterone (nmol/L),-0.09920987142345286,0.6861487983507761,19,0.9302333511237795
escape_I,Sperm concentration (x10⁶/mL),0.0912280701754386,0.7103145534384594,19,0.9462324052566424
dwell_I_s,Sperm concentration (x10⁶/mL),-0.0912280701754386,0.7103145534384594,19,0.9462324052566424
dwell_NP_s,Sperm C18:1 n-9 (oleic acid),0.08951295289102583,0.715542899508633,19,0.9462324052566424
p_NP_to_P,Serum total testosterone (nmol/L),0.08779634639243615,0.7207879526232619,19,0.9462324052566424
